Model;filename;date;total time;last iteration time;timeout;gap in %;objective;solvable;type;level;feasibility check;prev time;postprocessing;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_obj;plateau_gap;plateau time last iteration;fixed sheaves;# activated alternatives;stopping_type
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_random0_subMBP202404072240;07.04.24 22:40;2708.676846;180.51;False;9.94;10192.99868;True;random0;04. Mai;False;1805.38436;0.009876708;0;10495;13.3;1903.38436;10193;10.1;98;21;47;no improvement
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_random1_subMBP202404072240;07.04.24 22:40;974.4334604;608.82;False;1.75;9867.99879;True;random1;01. Mai;True;182.669564;0.00786475;0;10495;13.3;249.669564;9868;2.04;67;21;47;plateau stop
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_random2_subMBP202404072240;07.04.24 22:40;972.5386202;610.18;False;1.2;9867.998452;True;random2;01. Mai;True;181.0403557;0.013183917;0;10495;13.3;217.0403557;9868;2.23;36;21;47;plateau stop
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_random3_subMBP202404072240;07.04.24 22:40;963.6946466;601.86;False;1.01;9867.999362;True;random3;01. Mai;True;180.7868409;0.008132875;0;10495;13.3;190.7868409;9868;4.28;10;21;47;plateau stop
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_random4_subMBP202404072240;07.04.24 22:40;1516.798216;610.61;False;1.7;9867.998993;True;random4;02. Mai;False;543.2373834;0.011882916;0;10495;13.3;561.2373834;9868;6.34;18;21;47;plateau stop
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_random0_subMBP202404072240;07.04.24 22:40;1805.517389;180.39;False;2.02;10209.9979;True;random0;03. Apr;True;1083.178998;0.0043955;0;10210;10.2;1083.178998;10210;10.2;0;13;28;no improvement
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_random1_subMBP202404072240;07.04.24 22:40;1804.057771;180.52;False;2.36;10209.9963;True;random1;03. Apr;False;1082.312801;0.00284675;0;10210;10.2;1082.312801;10210;10.2;0;13;28;no improvement
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_random2_subMBP202404072240;07.04.24 22:40;1804.26162;180.45;False;2.13;10209.9972;True;random2;03. Apr;True;1082.4687;0.002865375;0;10210;10.2;1082.4687;10210;10.2;0;13;28;no improvement
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_random3_subMBP202404072240;07.04.24 22:40;1804.543632;180.5;False;1.83;10209.99792;True;random3;03. Apr;True;1082.599967;0.002963083;0;10210;10.2;1082.599967;10210;10.2;0;13;28;no improvement
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_random4_subMBP202404072240;07.04.24 22:40;1804.889666;180.33;False;2.32;10209.99642;True;random4;03. Apr;True;1082.950188;0.003292;0;10210;10.2;1082.950188;10210;10.2;0;13;28;no improvement
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_random0_subMBP202404072240;07.04.24 22:40;241.751089;1.16;False;0;4913.999843;True;random0;02. MŠr;True;239.1525292;0.004285417;0;4914;12.7;239.1525292;4914;12.7;0;6;15;False
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_random1_subMBP202404072240;07.04.24 22:40;240.3267773;2.5;False;0;4914;True;random1;02. MŠr;True;236.9627698;0.004152542;0;4914;7.61;236.9627698;4914;7.61;0;6;15;False
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_random2_subMBP202404072240;07.04.24 22:40;241.849585;1.05;False;0;4913.999843;True;random2;02. MŠr;True;239.5368832;0.003028541;0;4914;12.7;239.5368832;4914;12.7;0;6;15;False
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_random3_subMBP202404072240;07.04.24 22:40;242.5562077;2.42;False;0;4914;True;random3;02. MŠr;True;239.1976792;0.002021583;0;4914;7.61;239.1976792;4914;7.61;0;6;15;False
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_random4_subMBP202404072240;07.04.24 22:40;244.4371035;4.53;False;0;4914;True;random4;02. MŠr;True;238.8458393;0.001765416;0;4914;7.61;238.8458393;4914;7.61;0;6;15;False
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_random0_subMBP202404072240;07.04.24 22:40;631.8785197;631.54;False;5.92;23316.99952;True;random0;0/5;False;0;0.014964541;2;24675;15.4;136;23317;8.32;136;32;78;plateau stop
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_random1_subMBP202404072240;07.04.24 22:40;633.6689672;633.26;False;5.92;23316.99952;True;random1;0/5;False;0;0.013318542;2;24675;15.4;138;23317;8.32;138;32;78;plateau stop
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_random2_subMBP202404072240;07.04.24 22:40;635.0601197;634.69;False;5.93;23316.99952;True;random2;0/5;False;0;0.012711333;2;24675;15.4;142;23317;8.32;142;32;78;plateau stop
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_random3_subMBP202404072240;07.04.24 22:40;634.614369;634.27;False;5.92;23316.99952;True;random3;0/5;False;0;0.0126965;2;24675;15.4;139;23317;8.32;139;32;78;plateau stop
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_random4_subMBP202404072240;07.04.24 22:40;634.0558072;633.71;False;5.92;23316.99952;True;random4;0/5;False;0;0.01476425;2;24675;15.4;139;23317;8.32;139;32;78;plateau stop
BBUP_O;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBUP_O/Branching/BBUP_O_random0_subMBP202404072240;07.04.24 22:40;609.2217578;608.96;False;8.05;14530.99954;True;random0;0/5;True;0;0.008330666;0;15761;16;262;14531;8.28;262;22;49;plateau stop
